Time,Naïve,ARIMA,Neural Network,WARIMA,EWNet,SVR,LSTM,Ground Truth
Q1 - 2022,2.382217,0.8934931,1.0767265,0.56435265,0.7684565,0.8743565,0.5646345,2.72217512
Q2 - 2022,2.382217,0.8934931,0.9024321,1.78120848,0,0.6794553,0.7358634,1.09350475
Q3 - 2022,2.382217,0.8934931,0.8797159,1.04547484,0.1380088,1.1047605,0.8211655,1.23213493
Q4 - 2022,2.382217,0.8934931,0.8767652,-0.30384604,0,0.9054769,0.8358142,1.3075975
Q1 - 2023,2.382217,0.8934931,0.8763821,-0.47388877,1.405552,0.8301985,0.8052921,-1.43825997
Q2 - 2023,2.382217,0.8934931,0.8763323,-0.08626538,2.4780777,0.5235945,0.7502994,-0.09999157
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
